Date,Open,High,Low,Close,GDP (constant 2015 MYR),GDP Growth YOY (%),OPR (%),MA_50,MA_200,EMA_50,EMA_200,RSI_50,BB_upper,BB_lower,GDP (constant 2015 MYR)_Lag_30D,GDP (constant 2015 MYR)_Lag_90D,GDP (constant 2015 MYR)_Lag_180D,GDP (constant 2015 MYR)_Lag_365D,OPR (%)_Lag_30D,OPR (%)_Lag_90D,Lagged_Close_30D,Lagged_Close_90D,Lagged_Close_180D,Lagged_Close_365D
2024-03-30,9.6899995803833,9.720000267028809,9.68000030517578,9.710000038146973,1804500000000.0,3.680282186,3.0,9.59359992980957,9.159799995422365,9.568234737369329,9.238582642268682,63.63638465402064,9.723256426187554,8.596343564657172,1804500000000.0,1804500000000.0,1804500000000.0,1804500000000.0,3.0,3.0,9.529999732971191,8.920000076293945,8.75,8.569999694824219
2024-03-31,9.6899995803833,9.720000267028809,9.68000030517578,9.710000038146973,1804500000000.0,3.680282186,3.0,9.598999938964845,9.162749996185305,9.573794160929236,9.24327336262568,59.18370524534769,9.731521611266242,8.593978381104364,1804500000000.0,1804500000000.0,1804500000000.0,1804500000000.0,3.0,3.0,9.449999809265137,8.920000076293945,8.770000457763672,8.670000076293945
2024-04-01,9.6899995803833,9.720000267028809,9.68000030517578,9.710000038146973,1804500000000.0,3.680282186,3.0,9.604399948120117,9.167099995613098,9.57913556787895,9.24791740914828,59.18370524534769,9.739245966839617,8.59495402438658,1804500000000.0,1804500000000.0,1804500000000.0,1804500000000.0,3.0,3.0,9.600000381469728,8.920000076293945,8.729999542236328,8.670000076293945
2024-04-02,9.720000267028809,9.729999542236328,9.6899995803833,9.729999542236328,1804500000000.0,3.680282186,3.0,9.610199947357176,9.17119999408722,9.585051802167476,9.252714246293436,59.731562525001934,9.747675270546104,8.594724717628335,1804500000000.0,1804500000000.0,1804500000000.0,1804500000000.0,3.0,3.0,9.600000381469728,8.890000343322754,8.760000228881836,8.670000076293945
2024-04-03,9.739999771118164,9.739999771118164,9.579999923706056,9.619999885559082,1804500000000.0,3.680282186,3.0,9.613799953460694,9.174649991989137,9.586422315241656,9.256368829768714,55.62502160673005,9.753575870336787,8.595724113641483,1804500000000.0,1804500000000.0,1804500000000.0,1804500000000.0,3.0,3.0,9.600000381469728,9.029999732971191,8.770000457763672,8.65999984741211
2024-04-04,9.630000114440918,9.710000038146973,9.619999885559082,9.6899995803833,1804500000000.0,3.680282186,3.0,9.619599952697754,9.178449988365172,9.590484168776625,9.260683563605676,58.89572454546785,9.76088662321548,8.596013353514868,1804500000000.0,1804500000000.0,1804500000000.0,1804500000000.0,3.0,3.0,9.630000114440918,9.0600004196167,8.800000190734863,8.65999984741211
2024-04-05,9.68000030517578,9.699999809265137,9.630000114440918,9.640000343322754,1804500000000.0,3.680282186,3.0,9.624399967193604,9.181999988555908,9.59242597954314,9.26445785992127,57.142897690342274,9.76699828442934,8.597001692682477,1804500000000.0,1804500000000.0,1804500000000.0,1804500000000.0,3.0,3.0,9.640000343322754,9.0600004196167,8.800000190734863,8.649999618530273
2024-04-06,9.649999618530272,9.699999809265137,9.619999885559082,9.6899995803833,1804500000000.0,3.680282186,3.0,9.629599952697754,9.185899987220765,9.596252395262365,9.268692105896015,57.6470641034056,9.774000277232128,8.597799697209402,1804500000000.0,1804500000000.0,1804500000000.0,1804500000000.0,3.0,3.0,9.699999809265137,9.0600004196167,8.800000190734863,8.65999984741211
2024-04-07,9.649999618530272,9.699999809265137,9.619999885559082,9.6899995803833,1804500000000.0,3.680282186,3.0,9.63419994354248,9.190049986839297,9.599928755463186,9.27288422007002,56.88623711964253,9.780613859161829,8.599486114516761,1804500000000.0,1804500000000.0,1804500000000.0,1804500000000.0,3.0,3.0,9.75,9.0600004196167,8.890000343322754,8.649999618530273
2024-04-08,9.649999618530272,9.699999809265137,9.619999885559082,9.6899995803833,1804500000000.0,3.680282186,3.0,9.638799934387206,9.19399998664856,9.60346094467574,9.277034621665178,56.88623711964253,9.787326234714447,8.600673738582673,1804500000000.0,1804500000000.0,1804500000000.0,1804500000000.0,3.0,3.0,9.81999969482422,9.100000381469728,8.899999618530273,8.649999618530273
